wanted,position,positionid,from,start,end
Q4699401,"Minister for Education, Heritage and Arts",Q108210873,Q18211338,2018-11-22,2021-08-24
Q58316,"Minister for Defence, National Security and Policing",Q108210409,Q59149050,2018-11-22,
Q17319028,Minister for Health and Medical Services,Q108210923,Q18211338,2016-09-10,2018-11-20
Q57830,Minister of the Economy,Q97183850,Q4699401,2014-10-06,
Q5448542,"Minister for Education, Heritage and Arts",Q108210873,Q19665719,2014-09-25,2017-07-05
Q7268116,Attorney-General,Q4818599,Q4699401,2007-01-08,2014-09-24
Q100316628,Speaker of the House of Representatives,Q7574272,Q373605,2001,2006
Q469507,President,Q76292543,Q316317,2000-07-13,2006-12-05
Q469507,President,Q76292543,Q57830,2000-05-29,2000-07-13
